Year,Make,Model,Vehicle Class,Engine Size (L),Cylinders,Transmission,Fuel Type,Fuel Consumption (City) (L/100 km),Fuel Consumption (Hwy) (L/100 km),Fuel Consumption (Comb) (L/100 km),Fuel Consumption (Comb) (mpg),CO2 Emissions (g/km),CO2 Rating,Smog Rating
2016,TOYOTA,PRIUS c,COMPACT,1.5,4,AV,X,4.5,5.1,4.7,60.0,111.0,10.0,10.0
2016,MERCEDES-BENZ,S 550 4MATIC COUPE,COMPACT,4.7,8,AS7,Z,14.4,9.8,12.3,23.0,289.0,4.0,7.0
2016,CHEVROLET,CAMARO,COMPACT,3.6,6,M6,X,13.2,8.7,11.2,25.0,261.0,5.0,7.0
2016,FIAT,500 ABARTH CABRIO,MINICOMPACT,1.4,4,A6,X,9.6,7.3,8.6,33.0,200.0,7.0,8.0
2016,INFINITI,Q50S RED SPORT AWD,MID-SIZE,3,6,AS7,Z,12.3,9.1,10.8,26.0,256.0,5.0,7.0
2016,DODGE,CHARGER SRT (MDS),FULL-SIZE,6.4,8,A8,Z,15.7,9.5,12.9,22.0,302.0,4.0,7.0
2016,HYUNDAI,SANTA FE SPORT AWD,SUV - SMALL,2,4,AS6,X,12.9,9.7,11.5,25.0,266.0,5.0,7.0
2016,DODGE,JOURNEY,SUV - SMALL,2.4,4,A4,X,12.7,9.1,11.1,25.0,260.0,5.0,7.0
2016,ASTON MARTIN,RAPIDE S,SUBCOMPACT,6,12,A8,Z,16.8,10.9,14.2,20.0,332.0,3.0,6.0
2016,KIA,SOUL ECO DYNAMICS,STATION WAGON - SMALL,2,4,AS6,X,9.7,7.7,8.8,32.0,208.0,6.0,8.0
2016,DODGE,VIPER SRT,TWO-SEATER,8.4,10,M6,Z,19.2,11.3,15.6,18.0,364.0,2.0,6.0
2016,FIAT,500 HATCHBACK TURBO,MINICOMPACT,1.4,4,A6,X,9.6,7.3,8.6,33.0,200.0,7.0,8.0
2016,HONDA,FIT,STATION WAGON - SMALL,1.5,4,AV,X,7.0,5.7,6.4,44.0,150.0,8.0,9.0
2016,HYUNDAI,SONATA SPORT/LIMITED,FULL-SIZE,2.4,4,AS6,X,10.0,7.0,8.6,33.0,204.0,6.0,8.0
2016,CHEVROLET,IMPALA FFV,FULL-SIZE,3.6,6,AS6,E,17.0,11.5,14.5,19.0,239.0,5.0,6.0
2016,BMW,M235i,SUBCOMPACT,3,6,M6,Z,11.9,8.6,10.4,27.0,245.0,5.0,7.0
2016,PORSCHE,911 CARRERA 4 GTS CABRIOLET,MINICOMPACT,3.8,6,M7,Z,13.4,9.3,11.6,24.0,272.0,4.0,7.0
2016,DODGE,CHARGER FFV,FULL-SIZE,3.6,6,A8,E,16.8,10.3,13.9,20.0,229.0,5.0,6.0
2016,BMW,428i CABRIOLET,SUBCOMPACT,2,4,AS8,Z,10.8,6.7,8.9,32.0,211.0,6.0,8.0
2016,FORD,TRANSIT CONNECT WAGON LWB FFV,SPECIAL PURPOSE VEHICLE,2.5,4,AS6,E,16.8,12.0,14.6,19.0,240.0,5.0,5.0
2016,PORSCHE,PANAMERA 4S EXECUTIVE,FULL-SIZE,3,6,AM7,Z,13.7,8.9,11.5,25.0,271.0,4.0,7.0
2016,BMW,X6 xDRIVE35i,SUV - STANDARD,3,6,AS8,Z,13.0,9.7,11.5,25.0,269.0,5.0,7.0
2016,INFINITI,Q50,MID-SIZE,2,4,AS7,Z,10.2,7.7,9.1,31.0,214.0,6.0,8.0
2016,VOLKSWAGEN,GOLF SPORTWAGON,STATION WAGON - SMALL,1.8,4,AS6,X,9.4,6.8,8.2,34.0,193.0,7.0,8.0
2016,PORSCHE,BOXSTER GTS,TWO-SEATER,3.4,6,M6,Z,12.1,8.9,10.7,26.0,250.0,5.0,7.0
2016,MERCEDES-BENZ,E 250 BLUETEC 4MATIC,MID-SIZE,2.1,4,AS7,D,8.6,6.0,7.4,38.0,200.0,7.0,9.0
2016,BMW,Z4 sDRIVE28i,TWO-SEATER,2,4,M6,Z,10.7,7.0,9.0,31.0,211.0,6.0,8.0
2016,CHEVROLET,MALIBU LIMITED,MID-SIZE,2.5,4,AS6,X,10.0,7.0,8.6,33.0,202.0,6.0,8.0
2016,HONDA,ACCORD SPORT,MID-SIZE,2.4,4,AV7,X,9.1,6.8,8.0,35.0,187.0,7.0,8.0
2016,CHEVROLET,EQUINOX FFV,SUV - SMALL,2.4,4,A6,X,10.5,7.3,9.1,31.0,214.0,6.0,8.0
2016,LEXUS,RC F,SUBCOMPACT,5,8,AS8,Z,15.2,9.5,12.6,22.0,289.0,4.0,7.0
2016,FORD,TRANSIT CONNECT VAN,SPECIAL PURPOSE VEHICLE,2.5,4,AS6,X,11.9,8.6,10.4,27.0,243.0,5.0,7.0
2016,HONDA,CR-V AWD,SUV - SMALL,2.4,4,AV,X,9.5,7.5,8.6,33.0,202.0,6.0,8.0
2016,CHEVROLET,CAMARO,COMPACT,2,4,AS8,Z,10.9,7.5,9.3,30.0,218.0,6.0,8.0
2016,BMW,M4 CABRIOLET,SUBCOMPACT,3,6,M6,Z,14.1,9.0,11.8,24.0,278.0,4.0,7.0
2016,CHRYSLER,200 AWD FFV,MID-SIZE,3.6,6,A9,E,16.9,10.8,14.1,20.0,232.0,5.0,6.0
2016,JEEP,CHEROKEE 4X4 ACTIVE DRIVE II,SUV - SMALL,3.2,6,A9,X,12.5,8.9,10.9,26.0,256.0,5.0,7.0
2016,PORSCHE,911 CARRERA S CABRIOLET,MINICOMPACT,3.8,6,AM7,Z,12.2,8.7,10.6,27.0,250.0,5.0,7.0
2016,KIA,K900,FULL-SIZE,3.8,6,AS8,X,13.9,9.2,11.8,24.0,278.0,4.0,7.0
2016,GMC,SAVANA 3500 PASSENGER,VAN - PASSENGER,6,8,A6,X,23.0,16.0,19.8,14.0,465.0,1.0,3.0
2016,PORSCHE,911 CARRERA CABRIOLET,MINICOMPACT,3.4,6,M7,Z,12.3,8.7,10.7,26.0,251.0,5.0,7.0
2016,MASERATI,GRANTURISMO CONVERTIBLE,SUBCOMPACT,4.7,8,AS6,Z,18.2,11.6,15.2,19.0,360.0,2.0,6.0
2016,FORD,EXPLORER FFV AWD,SUV - STANDARD,3.5,6,AS6,X,14.4,10.4,12.6,22.0,295.0,4.0,6.0
2016,MINI,COOPER 3 DOOR,SUBCOMPACT,1.5,3,M6,Z,8.4,6.0,7.3,39.0,172.0,8.0,9.0
2016,MITSUBISHI,LANCER SPORTBACK,STATION WAGON - SMALL,2,4,AV6,X,9.2,7.1,8.3,34.0,191.0,7.0,8.0
2016,FORD,TRANSIT CONNECT WAGON,SPECIAL PURPOSE VEHICLE,2.5,4,AS6,X,12.4,8.7,10.7,26.0,252.0,5.0,7.0
2016,FORD,F-150,PICKUP TRUCK - STANDARD,3.5,6,AS6,X,13.5,9.8,11.9,24.0,278.0,4.0,7.0
2016,MERCEDES-BENZ,AMG SL 63,TWO-SEATER,5.5,8,AS7,Z,14.7,9.5,12.4,23.0,298.0,4.0,7.0
2016,TOYOTA,SEQUOIA 4WD,SUV - STANDARD,5.7,8,AS6,X,18.8,14.0,16.6,17.0,382.0,2.0,4.0
2016,LINCOLN,MKZ,MID-SIZE,3.7,6,AS6,X,12.8,8.7,10.9,26.0,257.0,5.0,7.0
2016,PORSCHE,BOXSTER GTS,TWO-SEATER,3.4,6,AM7,Z,10.9,7.7,9.5,30.0,222.0,6.0,8.0
2016,HYUNDAI,GENESIS COUPE,SUBCOMPACT,3.8,6,AS8,Z,14.4,9.5,12.2,23.0,284.0,4.0,7.0
2016,LEXUS,RC 350,SUBCOMPACT,3.5,6,AS8,Z,12.3,8.5,10.6,27.0,246.0,5.0,7.0
2016,PORSCHE,911 GT3,TWO-SEATER,3.8,6,AM7,Z,16.0,11.5,14.0,20.0,329.0,3.0,6.0
2016,GMC,YUKON 4WD,SUV - STANDARD,5.3,8,A6,X,15.2,10.8,13.2,21.0,310.0,4.0,6.0
2016,JEEP,PATRIOT 4X4,SUV - SMALL,2.4,4,M5,X,10.6,8.6,9.7,29.0,228.0,5.0,7.0
2016,HYUNDAI,SANTA FE AWD,SUV - SMALL,3.3,6,AS6,X,13.0,9.7,11.5,25.0,269.0,5.0,7.0
2016,INFINITI,Q50,MID-SIZE,3,6,AS7,Z,12.1,8.1,10.3,27.0,242.0,5.0,7.0
2016,FIAT,500 CABRIO,MINICOMPACT,1.4,4,M5,X,7.9,6.3,7.2,39.0,168.0,8.0,9.0
2016,MERCEDES-BENZ,AMG E 63 S 4MATIC WAGON,STATION WAGON - MID-SIZE,5.5,8,AS7,Z,15.2,11.0,13.3,21.0,310.0,4.0,6.0
2016,JEEP,GRAND CHEROKEE 4X4 (MDS),SUV - STANDARD,5.7,8,A8,X,16.7,10.7,14.0,20.0,329.0,3.0,6.0
2016,JEEP,WRANGLER UNLIMITED 4X4,SUV - SMALL,3.6,6,A5,X,14.8,11.7,13.4,21.0,314.0,4.0,6.0
2016,BMW,435i xDRIVE COUPE,COMPACT,3,6,AS8,Z,12.0,7.9,10.2,28.0,238.0,5.0,8.0
2016,AUDI,A6 QUATTRO,MID-SIZE,3,6,AS8,Z,11.6,7.9,9.9,29.0,232.0,5.0,8.0
2016,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,6.2,8,A8,Z,16.1,11.4,14.0,20.0,328.0,3.0,6.0
2016,MERCEDES-BENZ,GLA 250 4MATIC,SUV - SMALL,2,4,AS7,Z,9.8,7.4,8.7,32.0,203.0,6.0,8.0
2016,AUDI,S7 QUATTRO,MID-SIZE,4,8,AM7,Z,13.4,8.8,11.4,25.0,265.0,5.0,7.0
2016,PORSCHE,PANAMERA GTS,FULL-SIZE,4.8,8,AM7,Z,15.1,9.7,12.7,22.0,298.0,4.0,7.0
2016,LEXUS,CT 200h,COMPACT,1.8,4,AV,X,5.5,5.9,5.7,50.0,132.0,9.0,9.0
2016,PORSCHE,911 GT3RS,TWO-SEATER,4,6,AM7,Z,16.3,11.8,14.3,20.0,334.0,3.0,6.0
2016,CHRYSLER,300 AWD FFV,FULL-SIZE,3.6,6,A8,X,12.8,8.6,10.9,26.0,257.0,5.0,7.0
2016,LINCOLN,MKC AWD,SUV - SMALL,2.3,4,AS6,X,12.8,9.1,11.1,25.0,261.0,5.0,7.0
2016,BENTLEY,CONTINENTAL GT,COMPACT,6,12,AS8,Z,18.9,11.2,15.4,18.0,360.0,2.0,6.0
2016,AUDI,A3,SUBCOMPACT,1.8,4,AM6,X,10.0,7.1,8.7,32.0,204.0,6.0,8.0
2016,CHRYSLER,300,FULL-SIZE,3.6,6,A8,X,12.4,7.7,10.3,27.0,240.0,5.0,8.0
2016,FIAT,500 CABRIO,MINICOMPACT,1.4,4,A6,X,8.7,6.9,7.9,36.0,183.0,7.0,8.0
2016,ACURA,TLX SH-AWD,COMPACT,3.5,6,AS9,Z,11.2,7.5,9.6,29.0,226.0,5.0,8.0
2016,CHEVROLET,SILVERADO FFV,PICKUP TRUCK - STANDARD,4.3,6,A6,X,13.5,10.0,11.9,24.0,280.0,4.0,6.0
2016,FORD,F-150 4X4,PICKUP TRUCK - STANDARD,3.5,6,AS6,X,14.7,10.7,12.9,22.0,303.0,4.0,6.0
2016,JEEP,GRAND CHEROKEE SRT 4X4 (MDS),SUV - STANDARD,6.4,8,A8,Z,18.5,12.6,15.8,18.0,370.0,2.0,5.0
2016,MERCEDES-BENZ,AMG S 63,FULL-SIZE,5.5,8,AS7,Z,15.7,10.1,13.2,21.0,313.0,4.0,6.0
2016,NISSAN,JUKE,STATION WAGON - SMALL,1.6,4,AV7,Z,8.5,7.2,7.9,36.0,186.0,7.0,8.0
2016,TOYOTA,TACOMA 4WD,PICKUP TRUCK - SMALL,3.5,6,M6,X,13.6,11.2,12.5,23.0,292.0,4.0,6.0
2016,AUDI,A8 QUATTRO TDI (modified),MID-SIZE,3,6,AS8,D,9.8,6.5,8.4,34.0,224.0,6.0,8.0
2016,FORD,MUSTANG,SUBCOMPACT,2.3,4,M6,X,10.6,7.6,9.2,31.0,217.0,6.0,8.0
2016,GMC,CANYON,PICKUP TRUCK - SMALL,3.6,6,A6,X,13.0,9.2,11.3,25.0,265.0,5.0,7.0
2016,PORSCHE,PANAMERA TURBO S EXECUTIVE,FULL-SIZE,4.8,8,AM7,Z,15.4,9.8,12.9,22.0,303.0,4.0,7.0
2016,FORD,FUSION,MID-SIZE,1.5,4,AS6,X,9.9,6.5,8.4,34.0,197.0,7.0,8.0
2016,CHEVROLET,TAHOE 4WD FFV,SUV - STANDARD,5.3,8,A6,E,20.9,14.5,18.0,16.0,300.0,4.0,4.0
2016,PORSCHE,CAYMAN S,TWO-SEATER,3.4,6,M6,Z,11.9,8.6,10.4,27.0,245.0,5.0,7.0
2016,GMC,SIERRA FFV,PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.6,10.4,12.7,22.0,298.0,4.0,6.0
2016,CHEVROLET,TAHOE 4WD FFV,SUV - STANDARD,5.3,8,A6,X,15.2,10.8,13.2,21.0,310.0,4.0,6.0
2016,BMW,X3 xDRIVE28d,SUV - SMALL,2,4,AS8,D,8.6,6.9,7.9,36.0,211.0,6.0,8.0
2016,TOYOTA,TACOMA,PICKUP TRUCK - SMALL,2.7,4,AS6,X,12.0,10.0,11.1,25.0,261.0,5.0,6.0
2016,VOLVO,XC90 T5 AWD,SUV - STANDARD,2,4,AS8,Z,10.8,9.5,10.2,28.0,239.0,5.0,7.0
2016,MAZDA,MAZDA5,MINIVAN,2.5,4,AS5,X,10.8,8.3,9.7,29.0,226.0,5.0,7.0
2016,CHEVROLET,EQUINOX AWD FFV,SUV - SMALL,2.4,4,A6,X,11.5,8.2,10.0,28.0,235.0,5.0,7.0
2016,NISSAN,JUKE AWD,STATION WAGON - SMALL,1.6,4,AV7,Z,8.8,7.5,8.2,34.0,194.0,7.0,8.0
2016,LAND ROVER,RANGE ROVER SPORT SUPERCHARGED,SUV - STANDARD,5,8,AS8,Z,16.6,12.3,14.7,19.0,344.0,3.0,5.0
2016,ROLLS-ROYCE,PHANTOM,FULL-SIZE,6.7,12,AS8,Z,20.9,12.7,17.2,16.0,403.0,2.0,5.0
2016,JAGUAR,F-TYPE S CONVERTIBLE,TWO-SEATER,3,6,AS8,Z,12.5,8.7,10.8,26.0,254.0,5.0,7.0
2016,CHEVROLET,SONIC 5 RS,STATION WAGON - SMALL,1.4,4,AS6,X,9.5,7.1,8.4,34.0,195.0,7.0,8.0
2016,RAM,1500 4X4 FFV,PICKUP TRUCK - STANDARD,3.6,6,A8,X,14.6,10.1,12.6,22.0,294.0,4.0,6.0
2016,CADILLAC,SRX,SUV - STANDARD,3.6,6,AS6,X,14.2,9.8,12.3,23.0,287.0,4.0,7.0
2016,FORD,F-150 4X4 (Payload Pkg),PICKUP TRUCK - STANDARD,2.7,6,AS6,X,13.3,10.7,12.3,23.0,288.0,4.0,6.0
2016,VOLKSWAGEN,GOLF R,COMPACT,2,4,AM6,Z,10.4,7.9,9.3,30.0,216.0,6.0,8.0
2016,CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,A6,X,14.2,9.5,12.1,23.0,285.0,4.0,7.0
2016,MINI,COOPER CONVERTIBLE,MINICOMPACT,1.5,3,AS6,Z,8.7,6.6,7.7,37.0,181.0,7.0,8.0
2016,TOYOTA,YARIS,COMPACT,1.5,4,AS6,X,7.2,5.6,6.4,44.0,151.0,8.0,9.0
2016,FORD,FUSION AWD,MID-SIZE,2,4,AS6,X,10.8,7.5,9.3,30.0,220.0,6.0,8.0
2016,VOLKSWAGEN,TOUAREG TDI (modified),SUV - STANDARD,3,6,AS8,D,11.2,8.4,9.8,29.0,270.0,5.0,7.0
2016,MERCEDES-BENZ,B 250,MID-SIZE,2,4,AS7,Z,9.2,6.6,8.0,35.0,188.0,7.0,8.0
2016,KIA,SPORTAGE,SUV - SMALL,2.4,4,AS6,X,11.4,8.3,10.0,28.0,231.0,5.0,7.0
2016,PORSCHE,911 CARRERA S,MINICOMPACT,3.8,6,AM7,Z,11.9,8.7,10.5,27.0,245.0,5.0,7.0
2016,NISSAN,JUKE,STATION WAGON - SMALL,1.6,4,M6,Z,8.5,6.9,7.8,36.0,183.0,7.0,8.0
2016,MERCEDES-BENZ,E 400 4MATIC COUPE,SUBCOMPACT,3,6,AS7,Z,11.8,8.4,10.2,28.0,239.0,5.0,7.0
2016,FORD,F-150 FFV,PICKUP TRUCK - STANDARD,3.5,6,A6,X,13.2,9.6,11.6,24.0,272.0,4.0,7.0
2016,TOYOTA,YARIS HATCHBACK,COMPACT,1.5,4,M5,X,7.7,6.3,7.1,40.0,165.0,8.0,9.0
2016,CHRYSLER,TOWN & COUNTRY FFV,MINIVAN,3.6,6,A6,X,14.1,9.5,12.0,24.0,282.0,4.0,7.0
2016,NISSAN,MAXIMA,MID-SIZE,3.5,6,AV7,Z,10.9,7.8,9.5,30.0,223.0,6.0,8.0
2016,MINI,JOHN COOPER WORKS PACEMAN ALL4,COMPACT,1.6,4,M6,Z,9.4,7.6,8.6,33.0,201.0,6.0,8.0
2016,PORSCHE,PANAMERA S,FULL-SIZE,3,6,AM7,Z,13.4,8.8,11.4,25.0,267.0,5.0,7.0
2016,GMC,TERRAIN AWD,SUV - SMALL,3.6,6,A6,X,14.9,10.1,12.8,22.0,300.0,4.0,6.0
2016,PORSCHE,CAYENNE S,SUV - STANDARD,3.6,6,A8,Z,14.3,9.6,12.2,23.0,286.0,4.0,7.0
2016,LINCOLN,NAVIGATOR 4X4,SUV - STANDARD,3.5,6,AS6,X,16.2,11.9,14.3,20.0,334.0,3.0,6.0
2016,CHEVROLET,SILVERADO FFV,PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.6,10.4,12.7,22.0,298.0,4.0,6.0
2016,JEEP,COMPASS,SUV - SMALL,2,4,AV,X,10.8,8.9,10.0,28.0,234.0,5.0,7.0
2016,INFINITI,Q50 HYBRID AWD,COMPACT,3.5,6,AS7,Z,8.7,7.6,8.2,34.0,193.0,7.0,8.0
2016,CHEVROLET,SILVERADO 4WD FFV,PICKUP TRUCK - STANDARD,4.3,6,A6,E,20.3,15.3,18.1,16.0,301.0,4.0,4.0
2016,PORSCHE,CAYMAN GT4,TWO-SEATER,3.8,6,M6,Z,13.3,10.1,11.8,24.0,277.0,4.0,6.0
2016,MAZDA,MAZDA3 4-DOOR,COMPACT,2.5,4,AS6,X,8.4,6.1,7.4,38.0,173.0,8.0,9.0
2016,LAND ROVER,RANGE ROVER SUPERCHARGED LWB,SUV - STANDARD,5,8,AS8,Z,17.2,12.5,15.1,19.0,356.0,3.0,5.0
2016,ROLLS-ROYCE,PHANTOM COUPE,COMPACT,6.7,12,AS8,Z,20.9,12.7,17.2,16.0,403.0,2.0,5.0
2016,MERCEDES-BENZ,SLK 350,TWO-SEATER,3.5,6,AS7,Z,11.1,8.1,9.8,29.0,229.0,5.0,7.0
2016,MAZDA,CX-5 (SIL),SUV - SMALL,2,4,M6,X,9.0,6.8,8.0,35.0,188.0,7.0,8.0
