Year,Make,Model,Vehicle Class,Engine Size (L),Cylinders,Transmission,Fuel Type,Fuel Consumption (City) (L/100 km),Fuel Consumption (Hwy) (L/100 km),Fuel Consumption (Comb) (L/100 km),Fuel Consumption (Comb) (mpg),CO2 Emissions (g/km),CO2 Rating,Smog Rating
2023,Chevrolet,Tahoe,SUV: Standard,3,6,A10,D,11.0,8.5,9.9,29.0,265.0,4.0,3.0
2023,Cadillac,CT4,Compact,2.7,4,AS10,Z,11.0,7.6,9.5,30.0,221.0,5.0,6.0
2023,Ford,F-150 Raptor 37 4X4,Pickup truck: Standard,3.5,6,AS10,X,16.0,14.4,15.3,18.0,359.0,2.0,6.0
2023,Dodge,Challenger SRT Hellcat,Mid-size,6.2,8,A8,Z,17.6,10.7,14.5,19.0,339.0,3.0,1.0
2023,BMW,M4 Coupe,Subcompact,3,6,M6,Z,14.7,10.1,12.6,22.0,293.0,4.0,5.0
2023,Toyota,RAV4 AWD (Stop/Start),SUV: Small,2.5,4,AS8,X,8.8,7.1,8.0,35.0,187.0,6.0,6.0
2023,Bugatti,Chiron,Two-seater,8,16,AM7,Z,26.8,16.6,22.2,13.0,522.0,1.0,1.0
2023,Hyundai,Tucson AWD,SUV: Small,2.5,4,AS8,X,10.1,8.3,9.3,30.0,218.0,5.0,7.0
2023,Mercedes-Benz,AMG GLS 63 4MATIC+ SUV,SUV: Standard,4,8,A9,Z,16.6,13.2,15.1,19.0,354.0,3.0,5.0
2023,Ford,Mustang Convertible,Subcompact,2.3,4,AS10,X,12.0,8.5,10.4,27.0,244.0,5.0,5.0
2023,Jeep,Wrangler JL Unlimited 4X4,SUV: Small,3.6,6,A8,X,12.9,10.2,11.7,24.0,275.0,4.0,7.0
2023,Acura,TLX Type S,Compact,3,6,AS10,Z,12.3,9.4,11.0,26.0,256.0,5.0,5.0
2023,Chevrolet,Silverado 4WD Mud Terrain Tire FFV,Pickup truck: Standard,5.3,8,A10,X,15.2,12.2,13.9,20.0,326.0,3.0,5.0
2023,Ford,F-150 4X4 FFV,Pickup truck: Standard,3.3,6,AS10,X,12.6,10.7,11.8,24.0,277.0,4.0,6.0
2023,GMC,Yukon,SUV: Standard,5.3,8,A10,X,15.8,11.8,14.0,20.0,327.0,3.0,6.0
2023,Subaru,Impreza 5-Door AWD,Station wagon: Small,2,4,AV7,X,8.4,6.6,7.6,37.0,178.0,6.0,7.0
2023,MINI,Cooper Countryman ALL4,Mid-size,1.5,3,AS8,Z,10.1,7.6,9.0,31.0,209.0,5.0,7.0
