Year,Make,Model,Vehicle Class,Engine Size (L),Cylinders,Transmission,Fuel Type,Fuel Consumption (City) (L/100 km),Fuel Consumption (Hwy) (L/100 km),Fuel Consumption (Comb) (L/100 km),Fuel Consumption (Comb) (mpg),CO2 Emissions (g/km),CO2 Rating,Smog Rating
2017,MINI,JOHN COOPER WORKS 3 DOOR,SUBCOMPACT,2,4,M6,Z,10.2,7.3,8.9,32.0,210.0,6.0,6.0
2017,FORD,FOCUS FFV,COMPACT,2,4,M5,E,12.9,9.5,11.4,25.0,188.0,7.0,6.0
2017,LEXUS,GS F,COMPACT,5,8,AS8,Z,14.9,9.7,12.5,23.0,293.0,4.0,7.0
2017,CHEVROLET,TRAVERSE AWD,SUV - STANDARD,3.6,6,A6,X,16.0,10.9,13.7,21.0,322.0,3.0,5.0
2017,FORD,MUSTANG CONVERTIBLE,SUBCOMPACT,2.3,4,AS6,X,11.8,8.3,10.2,28.0,239.0,5.0,6.0
2017,MERCEDES-BENZ,E 400 CABRIOLET,SUBCOMPACT,3,6,AS7,Z,11.5,8.1,10.0,28.0,233.0,5.0,5.0
2017,BMW,640i xDRIVE CABRIOLET,SUBCOMPACT,3,6,AS8,Z,12.4,8.4,10.6,27.0,249.0,5.0,6.0
2017,VOLKSWAGEN,TIGUAN 4MOTION,SUV - SMALL,2,4,AS6,Z,12.0,10.0,11.1,25.0,263.0,4.0,6.0
2017,LEXUS,LS 460 AWD,MID-SIZE,4.6,8,AS8,Z,15.1,10.3,12.9,22.0,303.0,3.0,6.0
2017,MINI,COOPER 5 DOOR,SUBCOMPACT,1.5,3,AS6,Z,8.8,6.8,7.9,36.0,184.0,7.0,8.0
2017,CHEVROLET,TAHOE FFV,SUV - STANDARD,5.3,8,A6,X,15.1,10.4,13.0,22.0,305.0,3.0,5.0
2017,HONDA,CR-V,SUV - SMALL,1.5,4,AV,X,8.4,7.0,7.8,36.0,181.0,7.0,7.0
2017,HYUNDAI,SONATA HYBRID SE,MID-SIZE,2,4,AS6,X,6.0,5.3,5.7,50.0,137.0,9.0,6.0
